Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1666975248.3160205,0,60048,0,GPS1_Frame,42.34408499999999,-71.08327166666666,17.5,328397.41968196654,4690082.618210744,19,T,1
1666975249.3154728,0,60049,0,GPS1_Frame,42.34414333333334,-71.08319666666667,17.4,328403.7565213307,4690088.944312006,19,T,1
1666975250.3161318,0,60050,0,GPS1_Frame,42.34419666666666,-71.08312333333333,17.2,328409.9424548223,4690094.718570148,19,T,1
1666975251.3167937,0,60051,0,GPS1_Frame,42.34424833333334,-71.08305833333334,17.2,328415.4373866822,4690100.324580783,19,T,1
1666975252.3149762,0,60052,0,GPS1_Frame,42.34429166666667,-71.082995,17.0,328420.7723481914,4690105.008605204,19,T,1
1666975253.314529,0,60053,0,GPS1_Frame,42.34433333333333,-71.08293499999999,16.9,328425.82818610617,4690109.514289572,19,T,1
1666975254.3157074,0,60054,0,GPS1_Frame,42.34437500000001,-71.08287999999999,16.9,328430.47214397776,4690114.030067404,19,T,1
1666975255.32141,0,60055,0,GPS1_Frame,42.344415,-71.08282833333332,16.8,328434.8369800191,4690118.367503886,19,T,1
1666975256.3168027,0,60056,0,GPS1_Frame,42.34445666666667,-71.08277666666666,16.6,328439.20634433173,4690122.890013726,19,T,1
1666975257.3177745,0,60057,0,GPS1_Frame,42.344496666666664,-71.08273000000001,16.5,328443.1592968153,4690127.237544637,19,T,1
1666975258.3165798,0,60058,0,GPS1_Frame,42.34453166666667,-71.08269166666668,16.4,328446.41219002387,4690131.046680458,19,T,1
1666975259.3174868,0,60059,0,GPS1_Frame,42.344563333333326,-71.08265833333333,16.3,328449.2441407505,4690134.49576507,19,T,1
1666975260.3177228,0,60060,0,GPS1_Frame,42.344588333333334,-71.08263166666667,16.2,328451.5087927162,4690137.218019388,19,T,1
1666975261.315332,0,60061,0,GPS1_Frame,42.34460666666667,-71.08260833333334,16.1,328453.4807286244,4690139.206717096,19,T,1
1666975262.3221042,0,60062,0,GPS1_Frame,42.34462666666666,-71.08258666666667,16.0,328455.319905987,4690141.383848957,19,T,1
1666975263.321009,0,60063,0,GPS1_Frame,42.344654999999996,-71.08255833333332,16.0,328457.7309103558,4690144.472883859,19,T,1
1666975264.3171344,0,60064,0,GPS1_Frame,42.34468666666667,-71.08252333333333,15.9,328460.700140881,4690147.918610038,19,T,1
1666975265.3169956,0,60065,0,GPS1_Frame,42.344725000000004,-71.08248333333333,15.8,328464.09937183134,4690152.094532407,19,T,1
1666975266.3170826,0,60066,0,GPS1_Frame,42.34476166666666,-71.082435,15.6,328468.1805176684,4690156.068572455,19,T,1
1666975267.3181093,0,60067,0,GPS1_Frame,42.34479833333333,-71.08238,15.4,328472.810819997,4690160.029164646,19,T,1
1666975268.316702,0,60068,0,GPS1_Frame,42.344836666666666,-71.08232500000001,15.3,328477.44564976136,4690164.17483054,19,T,1
1666975269.3170407,0,60069,0,GPS1_Frame,42.34487000000001,-71.082265,15.1,328482.47874679737,4690167.755200015,19,T,1
1666975270.3207307,0,60070,0,GPS1_Frame,42.344881666666666,-71.08219000000001,14.3,328488.6885282324,4690168.899392839,19,T,1
1666975271.3169675,0,60071,0,GPS1_Frame,42.34490833333333,-71.08211666666666,13.7,328494.8018071507,4690171.71259016,19,T,1
1666975272.3208053,0,60072,0,GPS1_Frame,42.344946666666665,-71.08204166666665,13.3,328501.08409524616,4690175.817926112,19,T,1
1666975273.3185349,0,60073,0,GPS1_Frame,42.344991666666665,-71.08196833333334,13.1,328507.24721357145,4690180.666912456,19,T,1
1666975274.3151722,0,60074,0,GPS1_Frame,42.345036666666665,-71.08190166666667,12.9,328512.8611643771,4690185.529351005,19,T,1
1666975275.3216891,0,60075,0,GPS1_Frame,42.345083333333335,-71.08184166666666,12.9,328517.9304804699,4690190.590311247,19,T,1
1666975276.3145626,0,60076,0,GPS1_Frame,42.345128333333335,-71.08179,13.1,328522.30881012714,4690195.483012044,19,T,1
1666975277.3187072,0,60077,0,GPS1_Frame,42.345173333333335,-71.08174333333334,13.9,328526.2752654669,4690200.385799923,19,T,1
1666975278.3188157,0,60078,0,GPS1_Frame,42.34521500000001,-71.081705,15.4,328529.54620601237,4690204.935255529,19,T,1
1666975279.3202207,0,60079,0,GPS1_Frame,42.345245000000006,-71.08167333333334,16.8,328532.23626653315,4690208.202662658,19,T,1
1666975280.318265,0,60080,0,GPS1_Frame,42.345261666666666,-71.08165166666666,17.7,328534.0663394928,4690210.009672613,19,T,1
1666975281.3177896,0,60081,0,GPS1_Frame,42.34526833333333,-71.08164000000001,18.2,328535.04548904055,4690210.726426314,19,T,1
1666975282.3192596,0,60082,0,GPS1_Frame,42.34527333333334,-71.08163333333333,18.5,328535.60823953804,4690211.268193333,19,T,1
