Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1666974629.4230137,0,1666974629,385185480,IMU1_Frame,0,0,0,,0.030020497398985557,0.04852037458388727,-0.44077973162898626,0.8958000732145734,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002908,0.00432,-0.254885,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.381,-1.111,-9.618,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2635,-0.2641,0.6522,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-052.363,+006.511,+000.635,+00.2635,-00.2641,+00.6522,+00.381,-01.111,-09.618,+00.002908,+00.004320,-00.254885"
1666974629.423065,0,1666974629,406763076,IMU1_Frame,0,0,0,,0.029852982863598203,0.04852607547938423,-0.44357678342888557,0.894423644933204,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001097,-0.008919,-0.251376,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.48,-1.261,-9.605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2664,-0.2583,0.6522,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-052.723,+006.505,+000.597,+00.2664,-00.2583,+00.6522,+00.480,-01.261,-09.605,-00.001097,-00.008919,-00.251376"
1666974629.466266,0,1666974629,432798624,IMU1_Frame,0,0,0,,0.029704440337975202,0.04851433915647499,-0.44635538477964476,0.8930458418237182,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001659,-0.014428,-0.246191,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.04,-1.076,-10.504,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2645,-0.2542,0.6344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-053.081,+006.498,+000.562,+00.2645,-00.2542,+00.6344,-00.040,-01.076,-10.504,+00.001659,-00.014428,-00.246191"
1666974629.466296,0,1666974629,458399772,IMU1_Frame,0,0,0,,0.0296630335115602,0.04848939420990384,-0.4490951247805988,0.8916739605878076,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.015263,0.001739,-0.244611,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.049,-0.804,-10.268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2655,-0.2612,0.6544,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-053.434,+006.495,+000.539,+00.2655,-00.2612,+00.6544,-00.049,-00.804,-10.268,+00.015263,+00.001739,-00.244611"
1666974629.5099678,0,1666974629,486218214,IMU1_Frame,0,0,0,,0.029770990730436844,0.04843854681676593,-0.45179027102655206,0.8903105897937882,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.026958,0.010357,-0.242743,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.197,-0.885,-10.347,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2646,-0.2532,0.6477,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-053.781,+006.497,+000.533,+00.2646,-00.2532,+00.6477,+00.197,-00.885,-10.347,+00.026958,+00.010357,-00.242743"
1666974629.510604,0,1666974629,508200883,IMU1_Frame,0,0,0,,0.029905634865542825,0.04842284314605521,-0.4544652356892046,0.8889444475415192,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.020031,0.010297,-0.24207,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.314,-1.167,-10.147,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2665,-0.2523,0.6511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-054.126,+006.504,+000.528,+00.2665,-00.2523,+00.6511,+00.314,-01.167,-10.147,+00.020031,+00.010297,-00.242070"
1666974629.5541017,0,1666974629,532530546,IMU1_Frame,0,0,0,,0.02995236683541978,0.04850109244016264,-0.45713692788373,0.8875676475165669,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.010297,0.015335,-0.244382,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.216,-1.253,-10.513,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2712,-0.2584,0.658,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-054.472,+006.516,+000.509,+00.2712,-00.2584,+00.6580,+00.216,-01.253,-10.513,+00.010297,+00.015335,-00.244382"
1666974629.568805,0,1666974629,568050861,IMU1_Frame,0,0,0,,0.029908746958444938,0.04868557460024296,-0.45981232391203103,0.8861759466718997,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002374,0.020673,-0.243186,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.557,-0.915,-9.499,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2703,-0.2445,0.6412,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-054.820,+006.534,+000.475,+00.2703,-00.2445,+00.6412,+00.557,-00.915,-09.499,+00.002374,+00.020673,-00.243186"
1666974629.6101792,0,1666974629,583571910,IMU1_Frame,0,0,0,,0.029799954924152564,0.048876101632161995,-0.46247324611869445,0.8847833554041342,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.001749,0.008988,-0.241378,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.582,-1.118,-9.303,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2712,-0.2584,0.6569,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-055.167,+006.549,+000.434,+00.2712,-00.2584,+00.6569,+00.582,-01.118,-09.303,-00.001749,+00.008988,-00.241378"
1666974629.610455,0,1666974629,607769966,IMU1_Frame,0,0,0,,0.02970519028889255,0.04909059458155153,-0.46513689070471015,0.8833772626115554,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000281,0.012063,-0.24105,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.456,-0.899,-9.131,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2731,-0.2564,0.6603,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-055.515,+006.567,+000.393,+00.2731,-00.2564,+00.6603,+00.456,-00.899,-09.131,-00.000281,+00.012063,-00.241050"
1666974629.654192,0,1666974629,632966756,IMU1_Frame,0,0,0,,0.02963055443834808,0.04926667759910604,-0.4677984430927528,0.8819634013733327,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.004676,0.012527,-0.242787,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.33,-0.956,-9.097,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.276,-0.2526,0.6581,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-055.863,+006.582,+000.356,+00.2760,-00.2526,+00.6581,+00.330,-00.956,-09.097,+00.004676,+00.012527,-00.242787"
1666974629.6584477,0,1666974629,657509803,IMU1_Frame,0,0,0,,0.02953622779089677,0.049385752153287873,-0.47045750260344527,0.880544375358941,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.003695,0.005143,-0.242281,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.675,-1.167,-9.302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2752,-0.2346,0.6491,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-056.211,+006.590,+000.320,+00.2752,-00.2346,+00.6491,+00.675,-01.167,-09.302,+00.003695,+00.005143,-00.242281"
1666974629.7020085,0,1666974629,682853460,IMU1_Frame,0,0,0,,0.02939540664830245,0.04945220669739311,-0.4731284007857855,0.8791131358878814,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001008,-0.000666,-0.242415,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.451,-1.043,-9.297,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2713,-0.2405,0.6379,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-056.561,+006.590,+000.282,+00.2713,-00.2405,+00.6379,+00.451,-01.043,-09.297,+00.001008,-00.000666,-00.242415"
1666974629.7471464,0,1666974629,706988573,IMU1_Frame,0,0,0,,0.029210045362724483,0.0494354583362493,-0.47580499918851443,0.8776744906035552,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001665,-0.002591,-0.24628,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.453,-0.92,-9.404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2787,-0.2556,0.6461,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-056.912,+006.579,+000.244,+00.2787,-00.2556,+00.6461,+00.453,-00.920,-09.404,+00.001665,-00.002591,-00.246280"
1666974629.7474577,0,1666974629,733133316,IMU1_Frame,0,0,0,,0.029073664069232757,0.04934398038082786,-0.478497520721716,0.8762191599827847,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.008917,-0.012312,-0.246156,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.261,-0.954,-9.302,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.275,-0.2575,0.657,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-057.265,+006.563,+000.215,+00.2750,-00.2575,+00.6570,+00.261,-00.954,-09.302,+00.008917,-00.012312,-00.246156"
1666974629.79001,0,1666974629,758658647,IMU1_Frame,0,0,0,,0.029024925136289244,0.04917555709562009,-0.4812147786839889,0.8747409074013218,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.019994,-0.00965,-0.249188,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.337,-0.814,-9.206,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2741,-0.2555,0.6614,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,-057.621,+006.544,+000.199,+00.2741,-00.2555,+00.6614,+00.337,-00.814,-09.206,+00.019994,-00.009650,-00.249188"
